Section,Item,Value
Inputs,Team size,8
Inputs,Hourly rate,$85.00
Inputs,Bugs per year,400
Inputs,PCE(local) today,35%
Inputs,PCE(local) target,75%
Inputs,Cycle time today (min),25.0
Inputs,Cycle time target (min),2.0
Computed,Weighted defect cost today (units),18.10
Computed,Weighted defect cost target (units),7.45
Computed,Local fix cost ($),$78.20
Real Data,Rework items observed (4.25 mo),26
Real Data,Avg PRs per rework item,3.04
Real Data,Annualised rework items,73
Real Data,Blended redo factor,0.804
Real Data,Median build duration (min),4.0
Real Data,Critical-path build duration (min),37.0
Real Data,Effective pipeline duration used (min),37.0
Savings,1. Shift-left rework,"$333,132"
Savings,2. Sprint capacity,"$439,171"
Savings,3. Pipeline retries,"$54,549"
Savings,4. Workarounds,"$51,000"
Savings,5. Rework cycles (real data),"$73,366"
Savings,"6. ProjectRef migration (standalone, applied=Y)","$33,238"
Savings,TOTAL ANNUAL SAVINGS,"$984,456"
NuGet,Annual NuGet tax (status quo),"$48,211"
NuGet,Eliminable with ProjectRef,"$33,748"
NuGet,Migration one-time cost,"$13,600"
NuGet,Migration payback (months),4.9
Investment,One-time investment,"$15,520"
Investment,Annual ongoing cost,"$10,516"
ROI,Net annual savings,"$973,940"
ROI,Payback period (months),0.2
